OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051NX,2024-10-09T11:29:34.525248,14.44145756,0.0011354,86.3323,195.4210,72.1697,288.0742,0,U,35051,999,80792,2.5521E-03,8.776E-05,0
IRIDIUM 33 DEB,1997-051NY,2024-10-08T05:25:24.788640,14.37529266,0.0013829,86.3366,204.8147,59.8193,300.4372,0,U,35052,999,81088,3.7202E-03,1.1182E-04,0
IRIDIUM 33 DEB,1997-051PF,2024-10-09T03:32:03.201792,14.43971384,0.0119945,86.2288,249.6586,200.9917,158.6339,0,U,35080,999,63410,1.5012E-02,5.6371E-04,0
IRIDIUM 33 DEB,1997-051PL,2024-10-08T21:01:35.890176,14.99517313,0.0010664,86.2841,143.9320,23.0385,337.1322,0,U,35296,999,81524,1.4494E-02,1.82549E-03,0
IRIDIUM 33 DEB,1997-051PM,2024-10-09T04:16:50.821536,14.41775933,0.0018842,86.3862,245.5050,119.6779,240.6300,0,U,35297,999,64228,3.7581E-03,1.2325E-04,0
IRIDIUM 33 DEB,1997-051PP,2024-10-08T07:16:08.603904,14.35688329,0.0061817,86.2941,219.7427,77.2090,74.4639,0,U,35299,999,80256,2.0882E-02,6.2135E-04,0
IRIDIUM 33 DEB,1997-051QA,2024-10-09T01:28:40.664064,14.46179908,0.0017121,86.3622,210.6068,94.1852,266.1307,0,U,35480,999,80812,3.423E-03,1.2288E-04,0
IRIDIUM 33 DEB,1997-051QE,2024-10-09T11:11:47.136192,14.71737535,0.0027934,86.3755,189.1222,203.4307,156.5639,0,U,35484,999,55644,6.1279E-03,3.8652E-04,0
IRIDIUM 33 DEB,1997-051QJ,2024-10-09T01:07:15.420864,14.70688364,0.0034611,86.3294,137.0988,98.8413,261.6725,0,U,35488,999,81921,4.2619E-03,2.629E-04,0
IRIDIUM 33 DEB,1997-051QN,2024-10-06T03:48:37.262304,14.66801110,0.0009843,86.3648,180.8986,256.9305,103.0810,0,U,35616,999,81198,5.9058E-03,3.3108E-04,0
IRIDIUM 33 DEB,1997-051QQ,2024-10-08T11:01:13.594368,14.49318719,0.0032574,86.3477,181.1888,23.4401,336.8279,0,U,35618,999,80973,4.7075E-03,1.8139E-04,0
IRIDIUM 33 DEB,1997-051QS,2024-10-09T00:52:42.061152,14.22771634,0.0181543,86.3880,36.6182,208.1163,151.0134,0,U,35620,999,53821,2.751E-02,7.3712E-04,0
IRIDIUM 33 DEB,1997-051QU,2024-10-09T12:08:37.377024,14.68875362,0.0020945,86.2099,108.1983,0.6257,29.5566,0,U,35622,999,80991,8.6218E-03,5.0898E-04,0
IRIDIUM 33 DEB,1997-051RA,2024-10-08T12:34:25.474944,14.57853798,0.0016658,86.3654,199.4955,11.3563,348.8018,0,U,35628,999,80155,1.5715E-02,7.2822E-04,0
IRIDIUM 33 DEB,1997-051RD,2024-10-09T13:03:38.163744,14.45429176,0.0020105,86.3733,205.4487,107.1506,66.5610,0,U,35631,999,80992,1.1874E-03,4.208E-05,0
IRIDIUM 33 DEB,1997-051RE,2024-10-08T20:05:53.898432,14.67324029,0.0076777,86.4166,320.7675,168.5933,191.7045,0,U,35632,999,79555,2.6802E-02,1.61509E-03,0
IRIDIUM 33 DEB,1997-051RJ,2024-10-08T01:17:34.291104,14.12585031,0.0170791,86.1102,210.9407,205.6289,166.0980,0,U,35680,999,54600,1.2089E-02,2.5765E-04,0
IRIDIUM 33 DEB,1997-051RX,2024-10-08T22:00:18.400896,14.62192977,0.0023421,86.3353,158.3479,237.1159,122.7799,0,U,35744,999,81146,4.0638E-03,2.0598E-04,0
IRIDIUM 33 DEB,1997-051SC,2024-10-08T11:28:00.283584,15.12121111,0.001389,86.3566,178.3260,71.9194,288.3556,0,U,35749,999,80815,4.4193E-02,8.15828E-03,0
IRIDIUM 33 DEB,1997-051SF,2024-10-08T10:27:29.751264,14.67726492,0.0014308,86.3440,165.3293,222.6630,137.3474,0,U,35797,999,80994,3.0219E-02,1.76762E-03,0
IRIDIUM 33 DEB,1997-051SP,2024-10-08T07:34:49.407168,14.98008669,0.0054378,86.3093,244.5373,111.1275,249.5780,0,U,35805,999,79299,1.4971E-01,1.980521E-02,0
IRIDIUM 33 DEB,1997-051SQ,2024-10-08T13:05:54.597984,14.50110541,0.0020308,86.3415,208.9788,75.6634,284.6823,0,U,35806,999,80072,1.271E-02,4.9795E-04,0
IRIDIUM 33 DEB,1997-051ST,2024-10-08T22:38:42.086688,14.63161454,0.001539,86.3367,169.1732,300.5558,59.4135,0,U,35809,999,80493,5.3208E-03,2.7513E-04,0
IRIDIUM 33 DEB,1997-051SW,2024-10-07T08:05:46.964832,14.40103677,0.001948,86.3741,242.3920,150.9502,209.2785,0,U,35846,999,65112,3.9994E-03,1.2679E-04,0
IRIDIUM 33 DEB,1997-051SY,2024-10-06T02:28:23.978784,14.64777219,0.000702,86.4005,208.5904,292.8048,67.2423,0,U,35848,999,60324,8.3167E-03,4.4615E-04,0
IRIDIUM 33 DEB,1997-051TA,2024-10-07T23:29:46.505472,14.65427909,0.001002,86.3569,178.1649,264.7874,95.2196,0,U,35850,999,65017,6.913E-03,3.7604E-04,0
IRIDIUM 33 DEB,1997-051TU,2024-10-08T23:33:44.427744,14.61442052,0.0064103,86.2245,182.5757,87.9323,272.9227,0,U,35911,999,80692,1.6108E-02,8.3027E-04,0
IRIDIUM 33 DEB,1997-051TY,2024-10-09T00:23:13.970688,14.65958830,0.0012411,86.3539,177.0423,266.6141,93.3652,0,U,35915,999,1756,6.137E-03,3.3777E-04,0
IRIDIUM 33 DEB,1997-051UB,2024-10-07T16:37:48.252576,14.45184321,0.0028631,86.4010,259.8820,164.5243,321.8880,0,U,35918,999,78966,5.4469E-03,1.9225E-04,0
IRIDIUM 33 DEB,1997-051UE,2024-10-07T10:02:57.693984,14.94207047,0.004802,86.4023,329.4257,255.9504,103.6384,0,U,35921,999,59093,5.0791E-02,5.88936E-03,0
IRIDIUM 33 DEB,1997-051UN,2024-10-08T09:13:15.108960,14.76476061,0.0022792,86.3465,152.2270,110.9764,249.3897,0,U,35929,999,81374,2.8945E-02,2.08313E-03,0
IRIDIUM 33 DEB,1997-051US,2024-10-03T15:03:06.280128,14.38815222,0.0016168,86.3437,221.8481,206.3609,274.9484,0,U,36011,999,79185,2.8969E-03,8.941E-05,0
IRIDIUM 33 DEB,1997-051UT,2024-10-08T23:46:46.584480,14.07862001,0.0245719,86.4494,118.9794,176.5740,183.7200,0,U,36012,999,59415,1.5145E-02,3.4001E-04,0
IRIDIUM 33 DEB,1997-051VA,2024-10-09T11:59:53.952864,15.10984178,0.0012079,86.3750,182.0304,95.3746,79.8860,0,U,36019,999,80207,1.3658E-02,2.35461E-03,0
IRIDIUM 33 DEB,1997-051VK,2024-10-06T21:58:47.289504,14.73738402,0.0025194,86.3316,146.2762,131.5805,228.7578,0,U,36028,999,80806,5.9168E-03,3.904E-04,0
IRIDIUM 33 DEB,1997-051VM,2024-10-08T11:43:51.015360,14.43282197,0.0019171,86.3262,194.9085,142.6541,217.5997,0,U,36080,999,79365,6.3827E-03,2.1606E-04,0
IRIDIUM 33 DEB,1997-051VQ,2024-09-28T03:31:31.814400,14.40162148,0.0024596,86.3467,223.3147,239.1485,120.7295,0,U,36083,999,79211,1.6795E-03,5.343E-05,0
IRIDIUM 33 DEB,1997-051VU,2024-10-08T20:36:28.444320,14.63519161,0.0035891,86.2959,134.9018,209.3190,150.6009,0,U,36390,999,82018,4.4258E-03,2.3231E-04,0
IRIDIUM 33 DEB,1997-051VZ,2024-10-07T03:31:43.234752,14.42587193,0.0011993,86.3788,236.6931,111.1470,249.1013,0,U,36483,999,58915,3.9021E-03,1.2995E-04,0
IRIDIUM 33 DEB,1997-051WD,2024-10-06T21:54:33.143904,14.55050100,0.0092568,86.3448,340.0019,230.6821,128.6155,0,U,36487,999,63331,2.9944E-02,1.39251E-03,0
IRIDIUM 33 DEB,1997-051WG,2024-10-09T12:50:02.571936,14.62557160,0.0007343,86.3758,201.9656,75.1721,285.0303,0,U,36490,999,80179,5.5341E-03,2.8202E-04,0
IRIDIUM 33 DEB,1997-051WK,2024-10-09T13:06:37.027296,14.56406367,0.0015757,86.3660,201.0544,21.2770,338.9090,0,U,36493,999,80841,4.2867E-03,1.9109E-04,0
IRIDIUM 33 DEB,1997-051WV,2024-09-17T13:54:01.756800,14.95873446,0.0049631,86.3726,10.7720,215.3622,144.4314,0,U,36566,999,78275,5.4626E-02,6.66972E-03,0
IRIDIUM 33 DEB,1997-051XH,2024-10-02T03:34:19.709472,14.44764383,0.0024467,86.3528,232.3824,203.0222,156.9885,0,U,37548,999,59211,4.7682E-03,1.6657E-04,0
IRIDIUM 33 DEB,1997-051XK,2024-10-09T02:17:59.343072,14.57633522,0.0005817,86.3842,212.8640,96.9216,263.2654,0,U,37550,999,80051,5.6261E-03,2.5735E-04,0
IRIDIUM 33 DEB,1997-051XX,2024-10-08T15:07:33.694176,14.49534289,0.0030437,86.3768,230.0962,108.4690,64.9945,0,U,37562,999,80080,1.4218E-02,5.5253E-04,0
IRIDIUM 33 DEB,1997-051YA,2024-10-08T00:42:33.992640,14.48118734,0.0016075,86.3574,196.6711,79.7197,280.5818,0,U,37565,999,59595,3.207E-03,1.1985E-04,0
IRIDIUM 33 DEB,1997-051YD,2024-10-08T10:19:23.563776,14.30971817,0.0140825,86.3314,350.5281,77.6629,284.0289,0,U,38017,999,55212,1.8001E-01,5.52596E-03,0
IRIDIUM 33 DEB,1997-051YG,2024-10-05T07:11:21.158880,14.80906170,0.00788,86.2678,287.1956,148.3852,212.2139,0,U,38020,999,77954,3.6808E-02,3.12477E-03,0
IRIDIUM 33 DEB,1997-051YJ,2024-10-07T01:25:07.985280,14.36803106,0.0053525,86.2807,204.6583,27.3296,333.0699,0,U,38022,999,62984,6.319E-03,1.9017E-04,0
IRIDIUM 33 DEB,1997-051YQ,2024-10-07T11:41:41.885376,14.43978382,0.0031031,86.3319,187.3629,111.5243,248.9271,0,U,38028,999,59266,1.2618E-03,4.354E-05,0
IRIDIUM 33 DEB,1997-051ZB,2024-09-14T10:16:51.466080,14.86785336,0.0003598,86.3051,151.2729,100.3132,259.8498,0,U,38227,999,59179,1.7705E-02,1.6126E-03,0
IRIDIUM 33 DEB,1997-051ZC,2024-10-09T04:50:59.083008,14.25896883,0.0066977,86.2965,230.7455,131.6268,296.0947,0,U,38228,999,78657,2.2578E-03,5.523E-05,0
IRIDIUM 33 DEB,1997-051ZD,2024-09-30T01:46:00.609024,14.18530016,0.017346,86.3697,44.0102,338.2951,21.0944,0,U,38229,999,50738,9.8745E-03,2.378E-04,0
IRIDIUM 33 DEB,1997-051ZL,2024-10-08T09:34:09.170400,14.74786255,0.003672,86.2495,164.4209,217.0126,142.8559,0,U,38236,999,55359,6.198E-02,4.42061E-03,0
IRIDIUM 33 DEB,1997-051ZR,2024-10-09T10:43:07.753728,14.50323462,0.0006002,86.3290,179.3004,61.3008,298.8800,0,U,38241,999,53967,4.0283E-03,1.5747E-04,0
IRIDIUM 33 DEB,1997-051AAB,2024-10-07T11:40:56.324928,14.47066722,0.0029875,86.3493,197.4271,85.4834,274.9781,0,U,38474,999,59072,2.9802E-03,1.0939E-04,0
IRIDIUM 33 DEB,1997-051AAE,2024-10-03T05:46:35.049216,13.52248897,0.0434819,86.4029,265.4729,51.1419,312.7697,0,U,38477,999,70769,1.5868E-02,1.9039E-04,0
IRIDIUM 33 DEB,1997-051AAJ,2024-10-08T13:33:22.864608,14.42980615,0.0074428,85.9704,21.9995,183.4405,176.6294,0,U,39777,999,56661,2.3415E-02,8.193E-04,0
IRIDIUM 33 DEB,1997-051AAK,2024-10-09T03:11:58.643232,14.48660127,0.0011141,86.3812,228.8331,43.6321,316.5762,0,U,39778,999,57183,4.2421E-03,1.6023E-04,0
IRIDIUM 33 DEB,1997-051AAN,2024-09-28T06:03:51.159744,14.05658456,0.0221327,86.3787,77.8944,222.2617,315.9964,0,U,39781,999,1875,1.4089E-02,2.8715E-04,0
IRIDIUM 33 DEB,1997-051AAQ,2024-10-09T06:15:56.090304,14.64927617,0.0040626,86.1559,105.4532,246.2990,290.7384,0,U,39783,999,54400,1.6373E-02,8.9714E-04,0
IRIDIUM 33 DEB,1997-051AAZ,2024-09-14T09:09:08.463744,14.36534313,0.012434,86.4092,47.3970,115.2985,246.1155,0,U,39792,999,52865,4.8453E-02,1.58795E-03,0
IRIDIUM 33 DEB,1997-051ABJ,2024-10-09T05:23:24.141408,14.69311644,0.0015839,86.3711,197.5097,99.4727,52.3982,0,U,40996,999,56123,1.2107E-02,7.2301E-04,0
IRIDIUM 33 DEB,1997-051ABL,2024-10-01T15:50:44.153664,14.42155010,0.0010774,86.3827,239.8534,83.6499,40.7976,0,U,40998,999,802,2.2455E-03,7.414E-05,0
IRIDIUM 33 DEB,1997-051ABN,2024-10-04T01:09:53.271936,14.11902237,0.0252273,86.2853,18.4032,228.4106,313.1216,0,U,46435,999,1731,3.3945E-02,8.4599E-04,0
IRIDIUM 33 DEB,1997-051ABR,2024-10-04T00:56:55.923360,14.37382980,0.0043458,86.2713,193.0006,326.1505,48.8403,0,U,46734,999,56754,4.8127E-03,1.4567E-04,0
IRIDIUM 33 DEB,1997-051ABX,2024-10-07T11:07:15.136032,14.55169880,0.0021845,86.3433,171.1972,354.1700,179.7931,0,U,46965,999,55983,4.17E-03,1.8127E-04,0
IRIDIUM 33 DEB,1997-051ACD,2024-10-03T11:09:12.342816,14.71725703,0.001582,86.3486,173.3132,24.6551,152.2788,0,U,46971,999,66579,8.0222E-03,5.046E-04,0
IRIDIUM 33 DEB,1997-051ACE,2024-10-07T14:43:10.253568,14.47316702,0.0012545,86.3918,224.4394,99.3719,24.3382,0,U,46972,999,71414,3.4643E-03,1.2723E-04,0
IRIDIUM 33 DEB,1997-051ACG,2024-10-08T07:34:27.521184,14.30869854,0.0115172,86.3034,291.1215,156.3357,204.3196,0,U,46974,999,51320,5.9849E-02,1.72922E-03,0
IRIDIUM 33 DEB,1997-051ACM,2024-10-04T03:59:23.426304,14.57164317,0.0043238,86.3519,244.8591,308.8879,50.8475,0,U,46979,999,29030,1.5593E-02,7.1935E-04,0